"","nombre","categoryName","address","location.lat","location.lng","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","day"
"61","Municipal Market of San Isidro","Market","Av. Augusto Pérez Araníbar, San Isidro 15076, Peru",-12.1088831,-77.0538501,NA,NA,NA,NA,NA,0,15,29,40,42,45,67,93,90,55,24,0,0,0,0,0,0,0,NA,"Mo"
"62","Municipal Market Santa Cruz","Market","Calle Gral Mendiburu 1175, Miraflores 15074, Peru",-12.110469,-77.049871,NA,NA,NA,NA,NA,0,19,35,49,63,83,100,94,69,42,25,15,0,0,0,0,0,0,NA,"Mo"
"63","Rospigliosi Modern Market","Market","Jirón Manuel Segura 537, Cercado de Lima 15046, Peru",-12.079163,-77.0321089,NA,NA,NA,NA,NA,0,0,19,32,40,43,42,36,26,18,16,19,18,12,0,0,0,0,NA,"Mo"
"64","Santa Rosa Market","Market","Guardia Civil 433, esquina con, Av. Guardia Peruana Urb, Chorrillos 15056, Peru",-12.1832405,-77.0005833,NA,NA,NA,NA,0,7,17,30,43,52,58,60,57,50,45,49,60,66,59,40,0,0,NA,NA,"Mo"
"65","Special services cooperative winner Miguel Grau","Market","Flor De Mayo 18, Cercado de Lima 15333, Peru",-12.0057505,-77.0520386,NA,NA,NA,NA,NA,0,4,12,25,39,43,34,22,12,8,6,5,0,0,0,0,0,0,NA,"Mo"
"66","Town and Country Market","Market","Santos Chocano Agullar 174, Rímac 15094, Peru",-12.0251687,-77.0284697,NA,NA,NA,NA,0,1,7,18,33,45,48,41,29,21,18,16,14,10,0,0,0,0,NA,NA,"Mo"
"67","Alakami Investments","Supermarket","Mercado mayorista, Santa Anita, Peru",-12.0370177,-76.9479746,1,1,1,11,25,35,40,41,40,38,33,25,14,3,1,1,1,1,1,1,9,1,1,1,"Tu"
"68","Brena market","Market","Jr. Restauración, Cercado de Lima 15083, Peru",-12.064933,-77.0479141,NA,NA,NA,NA,NA,0,0,22,37,47,50,47,43,37,31,25,20,0,0,0,0,0,0,NA,"Tu"
"69","Cachina 12","Market","calle bongara S/N Av Canto Grande PRD. 12 San Juan de Lurigancho Gobierno Regional de Lima LIMA, 36, Peru",-11.9647692,-77.0023254,NA,NA,NA,NA,NA,0,0,0,8,17,25,27,26,27,29,28,22,0,0,0,0,0,0,NA,"Tu"
"70","Centro Comercial ""COVIDA""","Market","Av. c/ Calle 15301 Perú, Daniel Hernandez, Lima, Peru",-11.9945527,-77.0767379,NA,NA,NA,NA,NA,0,11,25,42,60,72,76,69,58,55,64,84,100,98,79,0,0,0,NA,"Tu"
"71","Eduardo Mercado Chachi Divos","Market","Lima District 15096, Peru",-12.0174017,-77.0272044,NA,NA,NA,NA,NA,0,0,12,24,38,50,57,55,46,34,27,32,53,79,92,11,53,0,NA,"Tu"
