nombre,categoryName,address,location.lat,location.lng,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,day
Mercado Mayorista De Frutas,Market,"Av Nicolás Arriola 4046, Cercado de Lima 15021, PeruLocated in: Wholesale Market Fruit No. 2",-12.0683307,-76.9975107,NA,NA,NA,0,13,22,29,34,36,35,34,31,28,22,17,11,7,0,0,0,0,NA,NA,NA,Mo
Mercado Moderno Los Cipreses,Market,"Mariano Arredondo 2777, Cercado de Lima 15081, Peru",-12.054395,-77.0782005,NA,NA,NA,NA,NA,0,0,30,45,59,63,60,50,40,30,22,0,0,0,0,0,0,0,NA,Mo
Mercado N°. 1 Tahuantinsuyo,Market,"Inca Roca 5, Distrito de Lima 15332, Peru",-11.9813587,-77.0531323,NA,NA,NA,NA,0,1,4,10,20,31,38,36,28,18,12,11,10,7,0,0,0,0,NA,NA,Mo
Mercado N°. 2 Surco,Market,"Jiron Franklin D. Roosevelt 898, Distrito de Lima 15063, PeruLocated in: Mercado Anexo N°. 2 Surco",-12.1464416,-77.0140783,NA,NA,NA,NA,NA,0,4,11,23,36,45,44,34,23,18,22,28,25,15,0,0,0,0,NA,Mo
Mercado Nuevo Horizonte,Market,"Av. José Carlos Mariátegui 883, Lima 15491, Peru",-12.0257175,-76.9120025,NA,NA,NA,NA,0,4,9,17,27,39,52,62,60,45,31,24,23,24,22,0,0,0,NA,NA,Mo
Mercado Palermo,Market,"avenida 15034, Av Palermo 525, Cercado de Lima, Peru",-12.0814303,-77.0229474,NA,NA,NA,NA,NA,0,12,27,31,30,32,31,24,19,19,20,20,17,0,0,0,0,0,NA,Mo
Mercado Pando,Market,"Lima District 15088, Peru",-12.0613848,-77.0779498,NA,NA,NA,NA,0,2,6,13,22,33,44,45,31,15,7,5,4,0,0,0,0,0,NA,NA,Mo
Mercado Paulet,Market,"Pedro Paulet 283-297, Cercado de Lima 15102, Peru",-12.0251758,-77.0536684,NA,NA,NA,NA,NA,0,0,31,48,54,56,60,58,46,30,16,7,0,0,0,0,0,0,NA,Mo
Mercado Primero de Mayo,Market,"Av. Alejandro Bertello 877, Cercado de Lima 15088, Peru",-12.0639763,-77.071373,NA,NA,NA,NA,NA,0,0,23,42,59,66,63,53,44,39,34,30,0,0,0,0,0,0,NA,Mo
Mercado San Antonio,Market,"Avenida Perú 34-35, Cercado de Lima 15106, Peru",-12.029562,-77.0855625,NA,NA,NA,NA,NA,0,6,15,28,41,49,48,39,28,24,26,32,34,28,0,0,0,0,NA,Mo
Mercado San Felipe,Market,"Jirón Domingo Martinez Luján 621, Cercado de Lima 15048, Peru",-12.1141104,-77.0163093,NA,NA,NA,NA,NA,0,10,20,26,29,31,30,25,19,14,13,14,16,15,12,8,0,0,NA,Mo
Mercado San Juan,Market,"Lima District 15427, Peru",-12.0141815,-76.9990245,NA,NA,NA,NA,NA,0,7,16,27,36,37,29,18,9,6,7,8,8,6,0,0,0,0,NA,Mo
Mercado San Juan Grande,Market,"Lima District 15056, Peru",-12.1576741,-76.9842807,NA,NA,NA,NA,NA,0,0,11,23,34,38,33,25,18,14,10,6,0,0,0,0,0,0,NA,Mo
Mercado Santa Rosa,Market,"Palmeras 521, Cercado de Lima 15007, Peru",-12.053296,-76.9811814,NA,NA,NA,NA,0,1,4,11,22,33,36,28,17,8,4,2,1,0,0,0,0,0,NA,NA,Mo
Mercado Santiago Apóstol,Market,"Jiron Franklin D. Roosevelt 164, Cercado de Lima 15049, Peru",-12.146325,-77.0070305,NA,NA,NA,NA,NA,0,3,14,30,48,65,80,83,69,49,36,27,0,0,0,0,0,0,NA,Mo
Mercado Señor Cautivo,Market,"Manuel Moncloa Y Cobarrubias 2724, Cercado de Lima 15081, Peru",-12.0577119,-77.0782428,NA,NA,NA,NA,NA,0,5,15,25,25,15,40,95,70,25,20,20,20,0,0,0,0,0,NA,Mo
Mercado Tupac Amaru,Market,"Lima District 15457, Peru",-12.021798,-76.9676176,NA,NA,NA,NA,0,1,1,13,27,36,35,27,15,4,1,1,1,1,1,1,1,0,NA,NA,Mo
Mercado Vara de Oro,Market,"Vara de Oro Avenida Gran Chimú 880, Cercado de Lima 15401, Peru",-12.025329,-76.9985954,NA,NA,NA,NA,NA,0,4,13,24,35,41,40,33,23,18,22,37,53,58,48,29,0,0,NA,Mo
Mercado Virgen de Guadalupe,Market,"Jirón Pachitea 374, Cercado de Lima 15001, Peru",-12.0548724,-77.0336883,NA,NA,NA,NA,0,6,24,55,76,67,53,62,79,70,41,20,0,0,0,0,0,0,NA,NA,Mo
MERPROLIMA,Produce market,"Av. Universitaria, Los Olivos 15304, Peru",-11.9808933,-77.0787001,NA,NA,NA,NA,NA,0,7,15,26,37,42,40,32,24,21,23,26,24,18,10,4,0,0,NA,Mo
Miraflores Indian Market,Market,"Av. Petit Thouars 5321, Miraflores 15074, Peru",-12.1161458,-77.0281774,NA,NA,NA,NA,NA,0,0,0,0,26,52,68,64,53,53,60,67,63,46,0,0,0,0,NA,Mo
Municipal Market of San Isidro,Market,"Av. Augusto Pérez Araníbar, San Isidro 15076, Peru",-12.1088831,-77.0538501,NA,NA,NA,NA,NA,0,15,29,40,42,45,67,93,90,55,24,0,0,0,0,0,0,0,NA,Mo
Municipal Market Santa Cruz,Market,"Calle Gral Mendiburu 1175, Miraflores 15074, Peru",-12.110469,-77.049871,NA,NA,NA,NA,NA,0,19,35,49,63,83,100,94,69,42,25,15,0,0,0,0,0,0,NA,Mo
Rospigliosi Modern Market,Market,"Jirón Manuel Segura 537, Cercado de Lima 15046, Peru",-12.079163,-77.0321089,NA,NA,NA,NA,NA,0,0,19,32,40,43,42,36,26,18,16,19,18,12,0,0,0,0,NA,Mo
San Jose Market,Fresh food market,"Av República Dominicana 356, Jesús María 15072, Peru",-12.0740521,-77.0493404,NA,NA,NA,NA,0,1,4,11,20,31,44,54,56,46,35,31,33,34,0,0,0,0,NA,NA,Mo
Santa Rosa Market,Market,"Guardia Civil 433, esquina con, Av. Guardia Peruana Urb, Chorrillos 15056, Peru",-12.1832405,-77.0005833,NA,NA,NA,NA,0,7,17,30,43,52,58,60,57,50,45,49,60,66,59,40,0,0,NA,NA,Mo
Sta. Rosa de Lima,Farmers' market,"Polux, Ate Vitarte 15498, Peru",-12.0340865,-76.9380773,NA,NA,NA,NA,NA,0,5,17,32,45,48,41,27,14,0,0,0,0,0,0,0,0,0,NA,Mo
